file_path,transcription,repetition
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep1.wav,A,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep2.wav,A,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep3.wav,A,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep4.wav,A,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep5.wav,A,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep1.wav,B,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep2.wav,B,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep3.wav,B,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep4.wav,B,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep5.wav,B,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep1.wav,C,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep2.wav,C,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep3.wav,C,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep4.wav,C,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep5.wav,C,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep1.wav,Ç,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep2.wav,Ç,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep3.wav,Ç,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep4.wav,Ç,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep5.wav,Ç,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_5_rep1.wav,D,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_5_rep2.wav,D,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_5_rep3.wav,D,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_5_rep4.wav,D,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_5_rep5.wav,D,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_6_rep1.wav,E,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_6_rep2.wav,E,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_6_rep3.wav,E,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_6_rep4.wav,E,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_6_rep5.wav,E,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_7_rep1.wav,F,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_7_rep2.wav,F,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_7_rep3.wav,F,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_7_rep4.wav,F,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_7_rep5.wav,F,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_8_rep1.wav,G,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_8_rep2.wav,G,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_8_rep3.wav,G,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_8_rep4.wav,G,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_8_rep5.wav,G,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_9_rep1.wav,Ğ,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_9_rep2.wav,Ğ,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_9_rep3.wav,Ğ,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_9_rep4.wav,Ğ,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_9_rep5.wav,Ğ,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_10_rep1.wav,H,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_10_rep2.wav,H,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_10_rep3.wav,H,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_10_rep4.wav,H,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_10_rep5.wav,H,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_11_rep1.wav,I,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_11_rep2.wav,I,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_11_rep3.wav,I,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_11_rep4.wav,I,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_11_rep5.wav,I,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_12_rep1.wav,İ,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_12_rep2.wav,İ,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_12_rep3.wav,İ,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_12_rep4.wav,İ,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_12_rep5.wav,İ,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_13_rep1.wav,J,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_13_rep2.wav,J,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_13_rep3.wav,J,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_13_rep4.wav,J,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_13_rep5.wav,J,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_14_rep1.wav,K,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_14_rep2.wav,K,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_14_rep3.wav,K,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_14_rep4.wav,K,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_14_rep5.wav,K,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_15_rep1.wav,L,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_15_rep2.wav,L,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_15_rep3.wav,L,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_15_rep4.wav,L,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_15_rep5.wav,L,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_16_rep1.wav,M,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_16_rep2.wav,M,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_16_rep3.wav,M,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_16_rep4.wav,M,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_16_rep5.wav,M,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_17_rep1.wav,N,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_17_rep2.wav,N,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_17_rep3.wav,N,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_17_rep4.wav,N,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_17_rep5.wav,N,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_18_rep1.wav,O,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_18_rep2.wav,O,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_18_rep3.wav,O,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_18_rep4.wav,O,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_18_rep5.wav,O,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_19_rep1.wav,Ö,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_19_rep2.wav,Ö,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_19_rep3.wav,Ö,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_19_rep4.wav,Ö,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_19_rep5.wav,Ö,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_20_rep1.wav,P,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_20_rep2.wav,P,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_20_rep3.wav,P,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_20_rep4.wav,P,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_20_rep5.wav,P,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_21_rep1.wav,R,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_21_rep2.wav,R,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_21_rep3.wav,R,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_21_rep4.wav,R,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_21_rep5.wav,R,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_22_rep1.wav,S,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_22_rep2.wav,S,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_22_rep3.wav,S,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_22_rep4.wav,S,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_22_rep5.wav,S,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_23_rep1.wav,Ş,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_23_rep2.wav,Ş,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_23_rep3.wav,Ş,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_23_rep4.wav,Ş,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_23_rep5.wav,Ş,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_24_rep1.wav,T,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_24_rep2.wav,T,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_24_rep3.wav,T,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_24_rep4.wav,T,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_24_rep5.wav,T,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_25_rep1.wav,U,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_25_rep2.wav,U,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_25_rep3.wav,U,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_25_rep4.wav,U,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_25_rep5.wav,U,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_26_rep1.wav,Ü,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_26_rep2.wav,Ü,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_26_rep3.wav,Ü,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_26_rep4.wav,Ü,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_26_rep5.wav,Ü,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_27_rep1.wav,V,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_27_rep2.wav,V,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_27_rep3.wav,V,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_27_rep4.wav,V,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_27_rep5.wav,V,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_28_rep1.wav,Y,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_28_rep2.wav,Y,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_28_rep3.wav,Y,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_28_rep4.wav,Y,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_28_rep5.wav,Y,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_29_rep1.wav,Z,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_29_rep2.wav,Z,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_29_rep3.wav,Z,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_29_rep4.wav,Z,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_29_rep5.wav,Z,5
